…	007f
十	0136
千	0137
升	0138
半	0139
华	013a
协	013b
卑	013c
单	013d
卖	013e
南	013f
占	0140
卡	0141
卫	0142
印	0143
危	0144
即	0145
却	0146
厂	0147
厅	0148
历	0149
厉	014a
压	014b
厌	014c
原	014d
厨	014e
去	014f
参	0150
又	0151
及	0152
友	0153
双	0154
反	0155
发	0156
取	0157
受	0158
变	0159
叛	015a
口	015b
古	015c
另	015d
只	015e
叫	015f
叭	0160
可	0161
台	0162
史	0163
右	0164
号	0165
司	0166
吃	0167
各	0168
合	0169
同	016a
名	016b
后	016c
向	016d
吓	016e
吗	016f
君	0170
否	0171
吧	0172
听	0173
启	0174
吸	0175
次	0176
某	0177
告	0178
员	0179
呢	017a
周	017b
味	017c
呼	017d
命	017e
和	017f
咖	0180
咬	0181
咱	0182
品	0183
哄	0184
哇	0185
哈	0186
响	0187
哑	0188
哥	0189
哦	018a
哪	018b
哭	018c
唱	018d
商	018e
啊	018f
啡	0190
啥	0191
喂	0192
喇	0193
喜	0194
喝	0195
喷	0196
嗯	0197
嘲	0198
嘴	0199
嘿	019a
噢	019b
器	019c
囜	019d
四	019e
回	019f
因	01a0
团	01a1
围	01a2
固	01a3
国	01a4
图	01a5
圈	01a6
土	01a7
圣	01a8
在	01a9
地	01aa
场	01ab
圾	01ac
坏	01ad
坐	01ae
块	01af
坚	01b0
坞	01b1
坠	01b2
坦	01b3
垂	01b4
垃	01b5
型	01b6
埋	01b7
城	01b8
域	01b9
填	01ba
境	01bb
墅	01bc
墙	01bd
增	01be
士	01bf
壮	01c0
声	01c1
壳	01c2
处	01c3
备	01c4
复	01c5
外	01c6
多	01c7
夜	01c8
够	01c9
大	01ca
天	01cb
太	01cc
夫	01cd
失	01ce
头	01cf
夸	01d0
夺	01d1
奇	01d2
奏	01d3
奔	01d4
奖	01d5
套	01d6
女	01d7
她	01d8
好	01d9
如	01da
妈	01db
妞	01dc
妹	01dd
始	01de
姑	01df
姓	01e0
威	01e1
娇	01e2
娘	01e3
婆	01e4
婴	01e5
媒	01e6
子	01e7
字	01e8
存	01e9
学	01ea
孩	01eb
它	01ec
宅	01ed
守	01ee
安	01ef
完	01f0
官	01f1
定	01f2
宜	01f3
宝	01f4
实	01f5
审	01f6
客	01f7
宣	01f8
室	01f9
宰	01fa
害	01fb
宴	01fc
家	01fd
容	01fe
宽	01ff
宾	0200
密	0201
富	0202
寓	0203
察	0204
对	0205
导	0206
射	0207
将	0208
尊	0209
小	020a
少	020b
尔	020c
尝	020d
就	020e
尺	020f
尽	0210
尾	0211
尿	0212
局	0213
屁	0214
层	0215
居	0216
屋	0217
屎	0218
屏	0219
展	021a
屠	021b
岁	021c
岛	021d
岸	021e
巡	021f
工	0220
左	0221
差	0222
己	0223
已	0224
巴	0225
巷	0226
市	0227
布	0228
帅	0229
师	022a
希	022b
帝	022c
带	022d
帧	022e
帮	022f
常	0230
幕	0231
干	0232
平	0233
年	0234
并	0235
幸	0236
幻	0237
幽	0238
广	0239
序	023a
库	023b
应	023c
底	023d
店	023e
庙	023f
府	0240
废	0241
度	0242
座	0243
建	0244
开	0245
弃	0246
弄	0247
弊	0248
式	0249
引	024a
弟	024b
张	024c
弹	024d
强	024e
归	024f
当	0250
录	0251
形	0252
影	0253
往	0254
待	0255
很	0256
律	0257
徒	0258
得	0259
微	025a
德	025b
心	025c
必	025d
忍	025e
志	025f
忘	0260
忙	0261
快	0262
怀	0263
态	0264
怎	0265
怒	0266
怕	0267
怜	0268
思	0269
急	026a
性	026b
怨	026c
怪	026d
总	026e
恋	026f
恐	0270
恢	0271
恨	0272
息	0273
恶	0274
悉	0275
悔	0276
您	0277
悲	0278
情	0279
惊	027a
惜	027b
惧	027c
惨	027d
想	027e
惹	027f
意	0280
感	0281
愿	0282
慢	0283
憾	0284
懂	0285
戏	0286
成	0287
我	0288
或	0289
战	028a
户	028b
房	028c
所	028d
手	028e
才	028f
扎	0290
扒	0291
打	0292
扔	0293
托	0294
执	0295
扮	0296
扯	0297
批	0298
找	0299
技	029a
把	029b
抓	029c
投	029d
抢	029e
护	029f
报	02a0
抱	02a1
抵	02a2
担	02a3
拆	02a4
拇	02a5
拉	02a6
拍	02a7
拒	02a8
招	02a9
拜	02aa
拟	02ab
拥	02ac
拦	02ad
择	02ae
拳	02af
拾	02b0
拿	02b1
持	02b2
指	02b3
按	02b4
挑	02b5
挡	02b6
振	02b7
挺	02b8
捅	02b9
捕	02ba
损	02bb
捡	02bc
换	02bd
据	02be
掉	02bf
掌	02c0
掏	02c1
排	02c2
探	02c3
接	02c4
控	02c5
推	02c6
掩	02c7
提	02c8
插	02c9
握	02ca
援	02cb
搅	02cc
搞	02cd
摇	02ce
摊	02cf
摧	02d0
摩	02d1
撒	02d2
撞	02d3
撤	02d4
播	02d5
操	02d6
擎	02d7
擦	02d8
支	02d9
收	02da
改	02db
攻	02dc
放	02dd
政	02de
故	02df
效	02e0
敌	02e1
敏	02e2
救	02e3
教	02e4
敢	02e5
散	02e6
敬	02e7
数	02e8
整	02e9
文	02ea
斗	02eb
料	02ec
断	02ed
斯	02ee
新	02ef
方	02f0
旁	02f1
旅	02f2
旋	02f3
族	02f4
无	02f5
日	02f6
旦	02f7
旧	02f8
早	02f9
时	02fa
明	02fb
易	02fc
星	02fd
映	02fe
昨	02ff
是	0300
显	0301
晒	0302
皇	0303
晚	0304
景	0305
晴	0306
暂	0307
暗	0308
暴	0309
更	030a
曾	030b
替	030c
最	030d
月	030e
有	030f
朋	0310
服	0311
望	0312
期	0313
木	0314
未	0315
本	0316
术	0317
机	0318
杀	0319
杂	031a
权	031b
杆	031c
材	031d
村	031e
束	031f
条	0320
来	0321
杯	0322
松	0323
板	0324
极	0325
果	0326
枪	0327
架	0328
柄	0329
某	032a
染	032b
柜	032c
查	032d
标	032e
树	032f
校	0330
样	0331
根	0332
格	0333
案	0334
档	0335
桥	0336
桨	0337
桶	0338
梦	0339
梯	033a
检	033b
棍	033c
棺	033d
椅	033e
楼	033f
槽	0340
模	0341
欠	0342
次	0343
欢	0344
欲	0345
歉	0346
止	0347
正	0348
此	0349
步	034a
武	034b
死	034c
残	034d
段	034e
毁	034f
每	0350
毒	0351
比	0352
毛	0353
民	0354
气	0355
水	0356
永	0357
求	0358
汇	0359
汉	035a
池	035b
污	035c
汽	035d
沙	035e
没	035f
油	0360
法	0361
波	0362
泥	0363
注	0364
泰	0365
泳	0366
洁	0367
洋	0368
洗	0369
洞	036a
活	036b
派	036c
流	036d
测	036e
浑	036f
浓	0370
浪	0371
海	0372
消	0373
润	0374
涨	0375
淇	0376
淋	0377
淡	0378
深	0379
混	037a
淹	037b
清	037c
渔	037d
港	037e
渴	037f
游	0380
湾	0381
湿	0382
滚	0383
满	0384
滩	0385
漂	0386
漆	0387
演	0388
激	0389
火	038a
灭	038b
灯	038c
灰	038d
灵	038e
灾	038f
炮	0390
炸	0391
点	0392
烂	0393
烈	0394
烟	0395
烦	0396
烧	0397
热	0398
然	0399
照	039a
熟	039b
爆	039c
爱	039d
父	039e
爷	039f
爸	03a0
爽	03a1
片	03a2
版	03a3
牌	03a4
牙	03a5
牛	03a6
牢	03a7
牧	03a8
物	03a9
特	03aa
犯	03ab
状	03ac
犹	03ad
狂	03ae
狗	03af
狙	03b0
独	03b1
狱	03b2
猪	03b3
猫	03b4
率	03b5
王	03b6
玩	03b7
环	03b8
现	03b9
玻	03ba
珠	03bb
班	03bc
球	03bd
理	03be
璃	03bf
瓜	03c0
瓦	03c1
甚	03c2
甜	03c3
生	03c4
甥	03c5
用	03c6
甩	03c7
由	03c8
甲	03c9
电	03ca
男	03cb
界	03cc
留	03cd
略	03ce
疑	03cf
疯	03d0
疲	03d1
病	03d2
痒	03d3
痛	03d4
痴	03d5
瘟	03d6
登	03d7
白	03d8
百	03d9
的	03da
皮	03db
盈	03dc
监	03dd
盖	03de
盘	03df
盛	03e0
目	03e1
盯	03e2
直	03e3
相	03e4
看	03e5
真	03e6
眼	03e7
着	03e8
睛	03e9
睡	03ea
瞄	03eb
瞧	03ec
知	03ed
码	03ee
砍	03ef
破	03f0
砸	03f1
硬	03f2
确	03f3
碎	03f4
碰	03f5
磁	03f6
示	03f7
礼	03f8
神	03f9
票	03fa
离	03fb
私	03fc
种	03fd
科	03fe
秒	03ff
秘	0400
租	0401
称	0402
移	0403
程	0404
稍	0405
穷	0406
空	0407
穿	0408
突	0409
窗	040a
窝	040b
立	040c
站	040d
竞	040e
端	040f
笑	0410
笔	0411
符	0412
笨	0413
第	0414
等	0415
筑	0416
答	0417
签	0418
简	0419
算	041a
管	041b
箭	041c
箱	041d
米	041e
类	041f
粉	0420
精	0421
糟	0422
系	0423
索	0424
紧	0425
红	0426
纤	0427
级	0428
纪	0429
纯	042a
纸	042b
线	042c
练	042d
组	042e
细	042f
终	0430
经	0431
结	0432
绕	0433
绘	0434
给	0435
绝	0436
统	0437
继	0438
绩	0439
续	043a
维	043b
绿	043c
缉	043d
缩	043e
罚	043f
罩	0440
罪	0441
置	0442
美	0443
羞	0444
群	0445
羽	0446
翁	0447
翅	0448
翻	0449
老	044a
考	044b
者	044c
而	044d
耍	044e
耐	044f
耗	0450
耳	0451
耶	0452
聊	0453
职	0454
联	0455
聚	0456
肉	0457
肠	0458
股	0459
肤	045a
肮	045b
肯	045c
育	045d
胁	045e
胆	045f
背	0460
胎	0461
胖	0462
胜	0463
胡	0464
胸	0465
能	0466
脂	0467
脏	0468
脑	0469
脖	046a
脱	046b
脸	046c
脾	046d
腐	046e
腥	046f
腿	0470
膀	0471
臂	0472
自	0473
臭	0474
至	0475
舞	0476
航	0477
般	0478
船	0479
艇	047a
艘	047b
色	047c
艺	047d
芯	047e
花	047f
苍	0480
苦	0481
英	0482
范	0483
茶	0484
草	0485
药	0486
获	0487
菜	0488
营	0489
萨	048a
落	048b
葬	048c
藏	048d
虑	048e
虚	048f
虫	0490
虾	0491
蛇	0492
蛋	0493
蝇	0494
螺	0495
蠢	0496
血	0497
行	0498
街	0499
衣	049a
补	049b
表	049c
袋	049d
被	049e
袭	049f
装	04a0
裤	04a1
裸	04a2
裹	04a3
西	04a4
要	04a5
覆	04a6
见	04a7
观	04a8
规	04a9
视	04aa
觉	04ab
角	04ac
解	04ad
言	04ae
警	04af
计	04b0
认	04b1
讨	04b2
让	04b3
议	04b4
记	04b5
许	04b6
论	04b7
设	04b8
证	04b9
识	04ba
诈	04bb
诉	04bc
试	04bd
话	04be
该	04bf
语	04c0
说	04c1
请	04c2
读	04c3
谁	04c4
调	04c5
谅	04c6
谈	04c7
谋	04c8
谎	04c9
谢	04ca
豆	04cb
豪	04cc
贝	04cd
负	04ce
财	04cf
责	04d0
败	04d1
账	04d2
货	04d3
贩	04d4
购	04d5
贱	04d6
贴	04d7
贵	04d8
费	04d9
贿	04da
资	04db
赚	04dc
赛	04dd
赢	04de
走	04df
赶	04e0
起	04e1
越	04e2
趣	04e3
足	04e4
跃	04e5
跑	04e6
距	04e7
跟	04e8
路	04e9
跳	04ea
踩	04eb
踪	04ec
踹	04ed
身	04ee
躲	04ef
车	04f0
转	04f1
轮	04f2
轴	04f3
轻	04f4
载	04f5
辆	04f6
输	04f7
辣	04f8
辨	04f9
辱	04fa
边	04fb
达	04fc
过	04fd
迎	04fe
运	04ff
近	0500
返	0501
还	0502
这	0503
进	0504
远	0505
连	0506
迟	0507
迷	0508
追	0509
退	050a
送	050b
适	050c
逃	050d
选	050e
递	050f
通	0510
逛	0511
速	0512
造	0513
逮	0514
逼	0515
遇	0516
道	0517
遗	0518
遥	0519
那	051a
部	051b
都	051c
鄙	051d
配	051e
洒	051f
醉	0520
醒	0521
释	0522
里	0523
重	0524
野	0525
量	0526
金	0527
钎	0528
钞	0529
钟	052a
钮	052b
钱	052c
铅	052d
银	052e
销	052f
锁	0530
锅	0531
锋	0532
错	0533
锤	0534
键	0535
锯	0536
镖	0537
镜	0538
长	0539
门	053a
闪	053b
闭	053c
问	053d
闯	053e
闲	053f
间	0540
闻	0541
阔	0542
队	0543
防	0544
阳	0545
阴	0546
阻	0547
附	0548
际	0549
陆	054a
陌	054b
降	054c
限	054d
院	054e
除	054f
险	0550
陪	0551
隆	0552
随	0553
隐	0554
障	0555
难	0556
雀	0557
雄	0558
集	0559
雇	055a
雨	055b
零	055c
雷	055d
雾	055e
需	055f
露	0560
静	0561
非	0562
靠	0563
面	0564
革	0565
鞋	0566
音	0567
页	0568
顶	0569
项	056a
顺	056b
须	056c
顽	056d
顾	056e
顿	056f
预	0570
领	0571
频	0572
颗	0573
题	0574
颜	0575
风	0576
飞	0577
食	0578
餐	0579
饥	057a
饭	057b
饰	057c
饿	057d
馆	057e
首	057f
香	0580
马	0581
驶	0582
驾	0583
骄	0584
验	0585
骑	0586
骗	0587
骚	0588
高	0589
鬼	058a
鱼	058b
鲨	058c
鸟	058d
鸡	058e
鸽	058f
麻	0590
黑	0591
默	0592
鼠	0593
鼻	0594
龙	0595
