—	807f
市	8179
什	817a
怕	817b
但	817c
，	817d
呃	817e
用	817f
带	8180
其	8181
防	8182
万	8183
同	8184
伴	8185
早	8186
点	8187
大	8188
闹	8189
捺	818a
住	818b
跟	818c
着	818d
烧	818e
光	818f
互	8190
殴	8191
爽	8192
啊	8193
也	8194
需	8195
力	8196
瞎	8197
转	8198
悠	8199
候	819a
反	819b
王	819c
剩	819d
余	819e
延	819f
长	81a0
解	81a1
决	81a2
麻	81a3
团	81a4
电	81a5
跳	81a6
月	81a7
读	81a8
中	81a9
勿	81aa
拔	81ab
记	81ac
忆	81ad
棒	81ae
切	81af
断	81b0
源	81b1
溜	81b2
弹	81b3
步	81b4
疲	81b5
劳	81b6
花	81b7
费	81b8
更	81b9
状	81ba
态	81bb
买	81bc
纳	81bd
·	81be
罗	81bf
伍	81c0
为	81c1
付	81c2
火	81c3
焰	81c4
榴	81c5
购	81c6
退	81c7
枪	81c8
预	81c9
留	81ca
箭	81cb
炮	81cc
助	81cd
患	81ce
者	81cf
霰	81d0
狙	81d1
里	81d2
范	81d3
美	81d4
许	81d5
证	81d6
看	81d7
值	81d8
信	81d9
呢	81da
店	81db
兴	81dc
趣	81dd
微	81de
型	81df
屋	81e0
维	81e1
琴	81e2
佐	81e3
无	81e4
参	81e5
与	81e6
队	81e7
安	81e8
东	81e9
尼	81ea
奥	81eb
（	81ec
）	81ed
装	81ee
内	81ef
司	81f0
制	81f1
考	81f2
克	81f3
吉	81f4
祥	81f5
套	81f6
龙	81f7
连	81f8
黑	81f9
奔	81fa
驰	81fb
先	81fc
生	81fd
地	81fe
图	81ff
标	8200
英	8201
雄	8202
工	8203
作	8204
穿	8205
晚	8206
播	8207
律	8208
师	8209
利	820a
昂	820b
族	820c
运	820d
休	820e
闲	820f
礼	8210
聪	8211
明	8212
直	8213
升	8214
比	8215
赛	8216
最	8217
高	8218
排	8219
位	821a
哎	821b
脸	821c
飞	821d
距	821e
离	821f
科	8220
伦	8221
坝	8222
销	8223
售	8224
台	8225
数	8226
营	8227
业	8228
～	8229
破	822a
船	822b
只	822c
量	822d
果	822e
前	822f
往	8230
八	8231
号	8232
球	8233
炸	8234
药	8235
设	8236
置	8237
奖	8238
卡	8239
拉	823a
翰	823b
桥	823c
施	823d
年	823e
疯	823f
狂	8240
技	8241
额	8242
耗	8243
命	8244
目	8245
变	8246
钮	8247
改	8248
建	8249
筑	824a
模	824b
方	824c
向	824d
键	824e
左	824f
右	8250
摇	8251
杆	8252
息	8253
雷	8254
星	8255
达	8256
抗	8257
争	8258
夺	8259
所	825a
权	825b
将	825c
天	825d
秤	825e
恢	825f
复	8260
度	8261
原	8262
毁	8263
萨	8264
尔	8265
欠	8266
哥	8267
报	8268
恩	8269
轿	826a
它	826b
盗	826c
搞	826d
砸	826e
令	826f
忍	8270
抢	8271
敌	8272
对	8273
遭	8274
遇	8275
样	8276
白	8277
寻	8278
卖	8279
哈	827a
德	827b
首	827c
新	827d
赚	827e
外	827f
压	8280
媒	8281
体	8282
关	8283
本	8284
视	8285
版	8286
片	8287
全	8288
闻	8289
凌	828a
晨	828b
讯	828c
速	828d
危	828e
件	828f
世	8290
界	8291
受	8292
战	8293
类	8294
稍	8295
自	8296
由	8297
树	8298
跨	8299
刊	829a
登	829b
头	829c
段	829d
弊	829e
启	829f
血	82a0
满	82a1
资	82a2
闭	82a3
选	82a4
择	82a5
删	82a6
文	82a7
影	82a8
院	82a9
效	82aa
通	82ab
房	82ac
驾	82ad
驶	82ae
存	82af
档	82b0
收	82b1
港	82b2
岛	82b3
堡	82b4
操	82b5
缉	82b6
隐	82b7
藏	82b8
包	82b9
裹	82ba
犯	82bb
罪	82bc
积	82bd
处	82be
重	82bf
该	82c0
画	82c1
面	82c2
字	82c3
符	82c4
伤	82c5
害	82c6
搜	82c7
查	82c8
游	82c9
戏	82ca
试	82cb
菜	82cc
单	82cd
返	82ce
编	82cf
辑	82d0
屏	82d1
蔽	82d2
秘	82d3
籍	82d4
玩	82d5
景	82d6
跃	82d7
米	82d8
双	82d9
妓	82da
女	82db
爆	82dc
移	82dd
路	82de
程	82df
舟	82e0
艇	82e1
还	82e2
未	82e3
部	82e4
从	82e5
械	82e6
材	82e7
料	82e8
紧	82e9
使	82ea
支	82eb
票	82ec
瓦	82ed
据	82ee
诺	82ef
掌	82f0
握	82f1
淡	82f2
每	82f3
丢	82f4
失	82f5
陪	82f6
审	82f7
及	82f8
裁	82f9
判	82fa
官	82fb
希	82fc
望	82fd
拥	82fe
架	82ff
汇	8300
合	8301
己	8302
阵	8303
继	8304
续	8305
坚	8306
守	8307
抵	8308
攻	8309
拼	830a
功	830b
获	830c
胜	830d
录	830e
秒	830f
语	8310
传	8311
品	8312
提	8313
供	8314
应	8315
错	8316
励	8317
哦	8318
谢	8319
酬	831a
硬	831b
声	831c
曲	831d
音	831e
输	831f
立	8320
轨	8321
简	8322
介	8323
加	8324
角	8325
载	8326
蹲	8327
伏	8328
乘	8329
坐	832a
交	832b
具	832c
替	832d
刹	832e
喇	832f
叭	8330
背	8331
瞄	8332
触	8333
纵	8334
振	8335
滚	8336
止	8337
亮	8338
表	8339
式	833a
幕	833b
径	833c
宽	833d
把	833e
忘	833f
容	8340
便	8341
控	8342
说	8343
言	8344
勤	8345
底	8346
拟	8347
例	8348
班	8349
牙	834a
主	834b
网	834c
络	834d
默	834e
认	834f
邀	8350
朋	8351
友	8352
各	8353
总	8354
佳	8355
纪	8356
徒	8357
灭	8358
灾	8359
派	835a
搬	835b
戮	835c
毕	835d
名	835e
覆	835f
盖	8360
今	8361
种	8362
初	8363
损	8364
败	8365
代	8366
码	8367
响	8368
期	8369
化	836a
喷	836b
水	836c
塔	836d
造	836e
第	836f
喜	8370
欢	8371
太	8372
迟	8373
旅	8374
客	8375
亡	8376
线	8377
围	8378
远	8379
局	837a
普	837b
笑	837c
干	837d
价	837e
专	837f
颜	8380
色	8381
漆	8382
当	8383
思	8384
修	8385
空	8386
抱	8387
歉	8388
易	8389
免	838a
激	838b
活	838c
管	838d
党	838e
联	838f
盟	8390
洪	8391
门	8392
三	8393
魔	8394
日	8395
亚	8396
兜	8397
帽	8398
协	8399
优	839a
秀	839b
适	839c
弱	839d
肉	839e
強	839f
食	83a0
時	83a1
谁	83a2
擅	83a3
或	83a4
揍	83a5
爱	83a6
圈	83a7
朝	83a8
久	83a9
迅	83aa
率	83ab
標	83ac
形	83ad
限	83ae
打	83af
倒	83b0
耐	83b1
医	83b2
治	83b3
疗	83b4
红	83b5
格	83b6
观	83b7
察	83b8
志	83b9
黄	83ba
环	83bb
增	83bc
强	83bd
菲	83be
迪	83bf
商	83c0
迷	83c1
系	83c2
骑	83c3
短	83c4
贿	83c5
赂	83c6
降	83c7
投	83c8
掷	83c9
够	83ca
呜	83cb
广	83cc
士	83cd
身	83ce
落	83cf
油	83d0
并	83d1
显	83d2
瓶	83d3
雾	83d4
罐	83d5
锁	83d6
些	83d7
桶	83d8
镜	83d9
缩	83da
精	83db
非	83dc
口	83dd
随	83de
展	83df
独	83e0
脱	83e1
而	83e2
且	83e3
见	83e4
横	83e5
封	83e6
翻	83e7
倍	83e8
四	83e9
沉	83ea
越	83eb
野	83ec
甲	83ed
岩	83ee
礁	83ef
浅	83f0
谈	83f1
才	83f2
捡	83f3
拜	83f4
轰	83f5
隆	83f6
挑	83f7
肾	83f8
腺	83f9
素	83fa
幸	83fb
公	83fc
斤	83fd
碎	83fe
刷	83ff
闪	8400
挣	8401
于	8402
Ｒ	8403
＜	8404
＞	8405
あ	8406
い	8407
う	8408
え	8409
お	840a
か	840b
き	840c
く	840d
け	840e
こ	840f
が	8410
ぎ	8411
ぐ	8412
げ	8413
ご	8414
さ	8415
し	8416
す	8417
せ	8418
そ	8419
ざ	841a
じ	841b
ず	841c
ぜ	841d
ぞ	841e
た	841f
ち	8420
つ	8421
て	8422
と	8423
だ	8424
ち	8425
づ	8426
で	8427
ど	8428
な	8429
に	842a
ぬ	842b
ね	842c
の	842d
は	842e
ひ	842f
ふ	8430
へ	8431
ほ	8432
ば	8433
び	8434
ぶ	8435
べ	8436
ぼ	8437
ば	8438
ぴ	8439
ぷ	843a
ぺ	843b
ぽ	843c
ま	843d
み	843e
む	843f
め	8440
も	8441
や	8442
ゆ	8443
よ	8444
わ	8445
を	8446
ん	8447
あ	8448
い	8449
う	844a
え	844b
お	844c
や	844d
ゆ	844e
よ	844f
っ	8450
ア	8451
イ	8452
ウ	8453
エ	8454
オ	8455
カ	8456
キ	8457
ク	8458
ケ	8459
コ	845a
ガ	845b
ギ	845c
グ	845d
ゲ	845e
ゴ	845f
サ	8460
シ	8461
ス	8462
セ	8463
ソ	8464
ザ	8465
ジ	8466
ズ	8467
ゼ	8468
ゾ	8469
タ	846a
チ	846b
ツ	846c
テ	846d
ト	846e
ダ	846f
チ	8470
ジ	8471
デ	8472
ド	8473
ナ	8474
ニ	8475
ヌ	8476
ネ	8477
ノ	8478
ハ	8479
ヒ	847a
フ	847b
ヘ	847c
ホ	847d
バ	847e
ビ	847f
ブ	8480
ベ	8481
ボ	8482
パ	8483
ピ	8484
プ	8485
ペ	8486
ポ	8487
マ	8488
ミ	8489
ム	848a
メ	848b
モ	848c
ヤ	848d
ユ	848e
ヨ	848f
ワ	8490
ラ	8491
ン	8492
ア	8493
イ	8494
ウ	8495
エ	8496
オ	8497
ヤ	8498
ユ	8499
ヨ	849a
ツ	849b
阳	849c
厂	849d
舞	849e
俱	849f
乐	84a0
堂	84a1
玛	84a2
麦	84a3
埃	84a4
华	84a5
泉	84a6
军	84a7
圣	84a8
马	84a9
屿	84aa
奇	84ab
基	84ac
搭	84ad
厄	84ae
您	84af
脚	84b0
插	84b1
储	84b2
足	84b3
雨	84b4
毫	84b5
仅	84b6
老	84b7
臭	84b8
娘	84b9
蓝	84ba
象	84bb
盘	84bc
莱	84bd
十	84be
愤	84bf
怒	84c0
鸡	84c1
姆	84c2
帕	84c3
艾	84c4
杰	84c5
夫	84c6
林	84c7
峈	84c8
鲁	84c9
兹	84ca
曼	84cb
山	84cc
崎	84cd
布	84ce
穆	84cf
胡	84d0
雅	84d1
坎	84d2
约	84d3
森	84d4
爸	84d5
蒂	84d6
欧	84d7
邦	84d8
宾	84d9
梅	84da
洛	84db
爵	84dc
妮	84dd
乔	84de
博	84df
莫	84e0
伊	84e1
艮	84e2
绯	84e3
递	84e4
终	84e5
窃	84e6
盒	84e7
喂	84e8
拿	84e9
刺	84ea
弹	84eb
检	84ec
验	84ed
箱	84ee
赢	84ef
规	84f0
则	84f1
厚	84f2
赞	84f3
因	84f4
唔	84f5
脏	84f6
叫	84f7
占	84f8
忙	84f9
散	84fa
备	84fb
尝	84fc
厉	84fd
计	84fe
感	84ff
怎	8500
婚	8501
像	8502
迫	8503
堆	8504
铁	8505
相	8506
旦	8507
即	8508
暗	8509
竞	850a
胆	850b
怯	850c
轮	850d
胎	850e
燃	850f
超	8510
尺	8511
旋	8512
般	8513
男	8514
租	8515
否	8516
绝	8517
燕	8518
尾	8519
智	851a
恤	851b
贝	851c
园	851d
焦	851e
映	851f
腿	8520
洗	8521
擦	8522
屁	8523
股	8524
？	8525
糟	8526
胶	8527
鞋	8528
毒	8529
味	852a
披	852b
熟	852c
露	852d
趟	852e
洋	852f
帅	8530
顾	8531
威	8532
飙	8533
透	8534
项	8535
灯	8536
贩	8537
吵	8538
抓	8539
扔	853a
挂	853b
奋	853c
告	853d
诉	853e
详	853f
细	8540
常	8541
丰	8542
寓	8543
释	8544
敢	8545
兄	8546
弟	8547
划	8548
顺	8549
扫	854a
土	854b
嘴	854c
实	854d
骗	854e
笛	854f
共	8550
累	8551
砰	8552
恐	8553
惧	8554
追	8555
涂	8556
契	8557
板	8558
刻	8559
办	855a
室	855b
养	855c
狗	855d
座	855e
纯	855f
笨	8560
举	8561
碰	8562
谜	8563
题	8564
学	8565
亭	8566
猫	8567
庭	8568
哪	8569
温	856a
柔	856b
母	856c
亲	856d
罢	856e
渡	856f
侧	8570
依	8571
赖	8572
鱼	8573
饵	8574
配	8575
拍	8576
摄	8577
照	8578
枚	8579
抬	857a
滑	857b
溃	857c
站	857d
滩	857e
南	857f
河	8580
姓	8581
雪	8582
松	8583
序	8584
慢	8585
减	8586
钞	8587
另	8588
赫	8589
伯	858a
严	858b
拾	858c
差	858d
劲	858e
偏	858f
隧	8590
临	8591
戴	8592
云	8593
晴	8594
霍	8595
珀	8596
嘿	8597
问	8598
痴	8599
周	859a
甚	859b
嗯	859c
石	859d
鸟	859e
阴	859f
茎	85a0
组	85a1
织	85a2
犹	85a3
绕	85a4
耶	85a5
稣	85a6
一	85a7
她	85a8
勒	85a9
索	85aa
财	85ab
求	85ac
卸	85ad
却	85ae
婊	85af
惜	85b0
耻	85b1
辱	85b2
楚	85b3
宠	85b4
神	85b5
嘛	85b6
懂	85b7
顶	85b8
宝	85b9
咬	85ba
甜	85bb
两	85bc
戒	85bd
涉	85be
崇	85bf
窥	85c0
监	85c1
狱	85c2
享	85c3
瞧	85c4
磨	85c5
蹭	85c6
屎	85c7
坑	85c8
呆	85c9
议	85ca
孩	85cb
瘦	85cc
饱	85cd
乱	85ce
顽	85cf
固	85d0
胁	85d1
识	85d2
哼	85d3
育	85d4
贷	85d5
款	85d6
义	85d7
噢	85d8
侦	85d9
探	85da
唯	85db
呕	85dc
胖	85dd
嗨	85de
帝	85df
厕	85e0
谓	85e1
墙	85e2
壁	85e3
兔	85e4
稳	85e5
居	85e6
辈	85e7
概	85e8
甩	85e9
吓	85ea
冲	85eb
撞	85ec
障	85ed
屈	85ee
蛮	85ef
驻	85f0
衅	85f1
刚	85f2
斗	85f3
卷	85f4
纷	85f5
唉	85f6
诅	85f7
咒	85f8
担	85f9
挡	85fa
几	85fb
端	85fc
仓	85fd
唠	85fe
叨	85ff
整	8600
何	8601
灰	8602
烬	8603
傻	8604
社	8605
愚	8606
弄	8607
病	8608
憎	8609
恨	860a
蠢	860b
归	860c
咎	860d
算	860e
栅	860f
吊	8610
政	8611
府	8612
允	8613
仍	8614
热	8615
逐	8616
渐	8617
峰	8618
撑	8619
孤	861a
砍	861b
哇	861c
粘	861d
恋	861e
冒	861f
险	8620
风	8621
巷	8622
疑	8623
究	8624
竟	8625
呼	8626
唤	8627
妙	8628
亏	8629
借	862a
叔	862b
珍	862c
贵	862d
赌	862e
挨	862f
援	8630
拦	8631
截	8632
性	8633
淫	8634
拐	8635
薄	8636
粉	8637
咕	8638
呜	8639
术	863a
撕	863b
校	863c
汗	863d
二	863e
怪	863f
副	8640
奸	8641
曾	8642
澡	8643
岁	8644
绑	8645
掩	8646
镖	8647
卫	8648
苍	8649
啥	864a
祈	864b
祷	864c
吃	864d
鼠	864e
踢	864f
答	8650
罩	8651
净	8652
属	8653
陆	8654
伪	8655
叛	8656
尸	8657
‘	8658
’	8659
哭	865a
辛	865b
苦	865c
杂	865d
统	865e
佑	865f
喝	8660
杯	8661
酒	8662
永	8663
割	8664
谣	8665
香	8666
肠	8667
丑	8668
惊	8669
尿	866a
羞	866b
恰	866c
奶	866d
嗷	866e
妹	866f
陷	8670
漩	8671
涡	8672
钟	8673
卓	8674
父	8675
鬼	8676
批	8677
鲜	8678
烂	8679
根	867a
苏	867b
尊	867c
冠	867d
沾	867e
摘	867f
吞	8680
颗	8681
悄	8682
祖	8683
宗	8684
肯	8685
愿	8686
咋	8687
巴	8688
聊	8689
粗	868a
誓	868b
千	868c
拯	868d
逼	868e
舒	868f
锯	8690
木	8691
辣	8692
流	8693
益	8694
健	8695
康	8696
缺	8697
乖	8698
张	8699
牌	869a
避	869b
产	869c
拖	869d
汉	869e
漂	869f
妞	86a0
猴	86a1
猛	86a2
摆	86a3
惕	86a4
逛	86a5
爪	86a6
擎	86a7
误	86a8
贼	86a9
挺	86aa
糖	86ab
蔗	86ac
份	86ad
咖	86ae
啡	86af
押	86b0
古	86b1
砖	86b2
痛	86b3
镇	86b4
剂	86b5
眠	86b6
肃	86b7
坠	86b8
呻	86b9
吟	86ba
吐	86bb
啦	86bc
滔	86bd
耽	86be
厨	86bf
勾	86c0
餐	86c1
厅	86c2
绿	86c3
深	86c4
荷	86c5
扯	86c6
艰	86c7
巨	86c8
历	86c9
史	86ca
贡	86cb
献	86cc
质	86cd
领	86ce
导	86cf
矩	86d0
悉	86d1
蜜	86d2
窝	86d3
栖	86d4
敬	86d5
楼	86d6
伟	86d7
豪	86d8
北	86d9
懒	86da
鼓	86db
龟	86dc
孙	86dd
债	86de
咳	86df
块	86e0
喔	86e1
节	86e2
喊	86e3
耳	86e4
堵	86e5
困	86e6
侵	86e7
染	86e8
半	86e9
纸	86ea
贱	86eb
爬	86ec
奉	86ed
柜	86ee
携	86ef
麾	86f0
筋	86f1
脑	86f2
肢	86f3
苟	86f4
碍	86f5
彻	86f6
演	86f7
虐	86f8
铃	86f9
霉	86fa
痕	86fb
迹	86fc
醉	86fd
刀	86fe
含	86ff
劫	8700
丘	8701
貉	8702
袖	8703
呀	8704
欲	8705
郎	8706
烈	8707
潮	8708
吹	8709
晕	870a
航	870b
偶	870c
丁	870d
吠	870e
慈	870f
善	8710
爹	8711
耍	8712
躲	8713
研	8714
丝	8715
袜	8716
阱	8717
哉	8718
剁	8719
仇	871a
蒙	871b
眼	871c
肥	871d
猪	871e
摊	871f
讨	8720
论	8721
推	8722
尘	8723
渔	8724
翁	8725
残	8726
塞	8727
摧	8728
浪	8729
尖	872a
搅	872b
艘	872c
阻	872d
凡	872e
沿	872f
喽	8730
谍	8731
密	8732
谅	8733
念	8734
诵	8735
肮	8736
怜	8737
怀	8738
捏	8739
虚	873a
假	873b
职	873c
涯	873d
腐	873e
邮	873f
执	8740
拗	8741
灵	8742
魂	8743
坦	8744
赎	8745
钻	8746
辗	8747
五	8748
恭	8749
丽	874a
堕	874b
污	874c
童	874d
肺	874e
亵	874f
渎	8750
甸	8751
评	8752
估	8753
庆	8754
祝	8755
旗	8756
帜	8757
访	8758
旨	8759
乡	875a
村	875b
私	875c
蜕	875d
嗜	875e
衰	875f
季	8760
喵	8761
夜	8762
厌	8763
捣	8764
嘉	8765
较	8766
努	8767
势	8768
贪	8769
予	876a
赤	876b
裸	876c
富	876d
征	876e
税	876f
赴	8770
汤	8771
蹈	8772
宣	8773
漫	8774
嘎	8775
嘣	8776
脆	8777
碌	8778
剔	8779
兼	877a
妨	877b
谎	877c
惑	877d
澎	877e
湃	877f
削	8780
焚	8781
印	8782
皇	8783
故	8784
袭	8785
荒	8786
谬	8787
慌	8788
虑	8789
策	878a
略	878b
兑	878c
岌	878d
七	878e
槽	878f
极	8790
幅	8791
跌	8792
牺	8793
牲	8794
畅	8795
迈	8796
氓	8797
裂	8798
饭	8799
佬	879a
洞	879b
缠	879c
躺	879d
婪	879e
兵	879f
诱	87a0
咪	87a1
膝	87a2
湿	87a3
吻	87a4
写	87a5
填	87a6
冥	87a7
葬	87a8
剧	87a9
突	87aa
仁	87ab
某	87ac
荣	87ad
咔	87ae
添	87af
弥	87b0
烟	87b1
爷	87b2
抛	87b3
补	87b4
偿	87b5
泳	87b6
邋	87b7
遢	87b8
寄	87b9
充	87ba
宁	87bb
惹	87bc
遍	87bd
疼	87be
谊	87bf
境	87c0
忠	87c1
诚	87c2
赏	87c3
衡	87c4
猜	87c5
棋	87c6
挖	87c7
嫌	87c8
傅	87c9
骄	87ca
傲	87cb
书	87cc
潘	87cd
泡	87ce
魄	87cf
蚁	87d0
俩	87d1
慷	87d2
慨	87d3
埋	87d4
遗	87d5
惨	87d6
采	87d7
罕	87d8
剖	87d9
凤	87da
凰	87db
浴	87dc
扎	87dd
诈	87de
庄	87df
创	87e0
吩	87e1
咐	87e2
旧	87e3
禁	87e4
寂	87e5
寞	87e6
宅	87e7
邸	87e8
冰	87e9
宇	87ea
宙	87eb
壮	87ec
夸	87ed
匪	87ee
承	87ef
丈	87f0
拒	87f1
鄙	87f2
吝	87f3
训	87f4
省	87f5
融	87f6
撒	87f7
妇	87f8
悟	87f9
阿	87fa
毙	87fb
猎	87fc
嘲	87fd
签	87fe
涌	87ff
倦	8800
既	8801
歪	8802
姨	8803
囊	8804
池	8805
馆	8806
碑	8807
氛	8808
悼	8809
昔	880a
炫	880b
耀	880c
烤	880d
抠	880e
鼻	880f
骂	8810
订	8811
饼	8812
怖	8813
瘾	8814
凉	8815
孔	8816
日	8817
趁	8818
酥	8819
瓜	881a
坛	881b
渚	881c
译	881d
レ	881e
ら	881f
元	8820
缘	8821
润	8822
蔡	8823
蚊	8824
测	8825
沙	8826
铭	8827
仔	8828
紅	8829
彎	882a
！	882b
@	882c
