，	0723
贫	0627
贩	0626
质	0625
货	0624
账	0623
败	0622
责	0621
财	0620
负	061f
贝	061e
貌	061d
豪	061c
象	061b
谷	061a
谱	0619
谢	0618
谍	0617
谋	0616
谈	0615
谅	0614
调	0613
谁	0612
读	0611
诺	0610
请	060f
说	060e
诱	060d
误	060c
语	060b
该	060a
话	0609
试	0608
词	0607
诉	0606
识	0605
诅	0604
评	0603
证	0602
访	0601
设	0600
论	05ff
许	05fe
讲	05fd
记	05fc
议	05fb
训	05fa
让	05f9
讨	05f8
认	05f7
计	05f6
警	05f5
誓	05f4
言	05f3
触	05f2
解	05f1
角	05f0
觉	05ef
览	05ee
视	05ed
规	05ec
观	05eb
见	05ea
覆	05e9
要	05e8
西	05e7
裹	05e6
裤	05e5
装	05e4
裂	05e3
袭	05e2
被	05e1
袋	05e0
衬	05df
衫	05de
表	05dd
补	05dc
衣	05db
衡	05da
街	05d9
行	05d8
血	05d7
蠢	05d6
蜴	05d5
蜥	05d4
蜜	05d3
蛋	05d2
蛇	05d1
虽	05d0
虚	05cf
虑	05ce
虎	05cd
藏	05cc
薯	05cb
蓝	05ca
蓄	05c9
葬	05c8
落	05c7
萨	05c6
营	05c5
菜	05c4
菊	05c3
获	05c2
莫	05c1
莓	05c0
药	05bf
荣	05be
荡	05bd
草	05bc
范	05bb
英	05ba
苦	05b9
苍	05b8
花	05b7
芭	05b6
节	05b5
艺	05b4
色	05b3
艘	05b2
艇	05b1
船	05b0
舱	05af
舰	05ae
航	05ad
舞	05ac
舒	05ab
舍	05aa
舌	05a9
致	05a8
至	05a7
臭	05a6
自	05a5
臀	05a4
腿	05a3
脸	05a2
脱	05a1
脚	05a0
脑	059f
脏	059e
能	059d
胸	059c
胡	059b
胜	059a
胖	0599
胎	0598
背	0597
胆	0596
胃	0595
胁	0594
肺	0593
育	0592
肯	0591
肥	0590
股	058f
肌	058e
肉	058d
聪	058c
聚	058b
联	058a
职	0589
聋	0588
聊	0587
耻	0586
耶	0585
耳	0584
耗	0583
耐	0582
耍	0581
而	0580
者	057f
考	057e
老	057d
翻	057c
翰	057b
翘	057a
羽	0579
群	0578
美	0577
羊	0576
置	0575
罪	0574
罩	0573
罚	0572
罗	0571
网	0570
罐	056f
缺	056e
缩	056d
缓	056c
缉	056b
绿	056a
维	0569
绳	0568
续	0567
绩	0566
继	0565
统	0564
绝	0563
给	0562
绘	0561
绕	0560
结	055f
绑	055e
经	055d
绍	055c
终	055b
细	055a
组	0559
练	0558
线	0557
纹	0556
纸	0555
纵	0554
纯	0553
纪	0552
级	0551
约	0550
红	054f
纠	054e
累	054d
紫	054c
紧	054b
索	054a
系	0549
糟	0548
糕	0547
糊	0546
精	0545
粘	0544
粗	0543
粉	0542
类	0541
米	0540
篮	053f
箱	053e
箭	053d
管	053c
算	053b
简	053a
签	0539
筹	0538
答	0537
筒	0536
筑	0535
等	0534
第	0533
笨	0532
笛	0531
笔	0530
笑	052f
端	052e
童	052d
竟	052c
竞	052b
站	052a
竖	0529
立	0528
窟	0527
窝	0526
窗	0525
窃	0524
突	0523
穿	0522
空	0521
穷	0520
究	051f
稳	051e
税	051d
稍	051c
程	051b
移	051a
称	0519
租	0518
秘	0517
秒	0516
科	0515
种	0514
秃	0513
私	0512
秀	0511
离	0510
福	050f
禁	050e
祸	050d
票	050c
神	050b
祝	050a
礼	0509
示	0508
磨	0507
膀	0506
磁	0505
碰	0504
碟	0503
碎	0502
碍	0501
确	0500
硬	04ff
砸	04fe
破	04fd
欣	04fc
码	04fb
矶	04fa
石	04f9
矮	04f8
短	04f7
矩	04f6
知	04f5
瞧	04f4
瞎	04f3
瞄	04f2
睡	04f1
睛	04f0
睁	04ef
着	04ee
眼	04ed
真	04ec
看	04eb
省	04ea
盾	04e9
相	04e8
直	04e7
盯	04e6
目	04e5
盛	04e4
盘	04e3
盗	04e2
盖	04e1
盔	04e0
监	04df
益	04de
盆	04dd
皮	04dc
皇	04db
的	04da
皂	04d9
百	04d8
白	04d7
登	04d6
瘾	04d5
瘦	04d4
痴	04d3
痢	04d2
痛	04d1
病	04d0
疾	04cf
疯	04ce
疑	04cd
留	04cc
界	04cb
男	04ca
电	04c9
甲	04c8
由	04c7
甩	04c6
用	04c5
生	04c4
甜	04c3
甚	04c2
瓶	04c1
瓦	04c0
瓜	04bf
璃	04be
瑞	04bd
理	04bc
球	04bb
班	04ba
玻	04b9
现	04b8
环	04b7
玩	04b6
王	04b5
玉	04b4
率	04b3
猫	04b2
猪	04b1
猜	04b0
猛	04af
猎	04ae
狱	04ad
狮	04ac
狭	04ab
独	04aa
狠	04a9
狙	04a8
狗	04a7
狂	04a6
状	04a5
犯	04a4
特	04a3
物	04a2
牧	04a1
牢	04a0
牛	049f
牙	049e
牌	049d
版	049c
片	049b
爽	049a
爸	0499
爷	0498
父	0497
爱	0496
爬	0495
爆	0494
燃	0493
熟	0492
煮	0491
照	0490
然	048f
焰	048e
焦	048d
热	048c
烧	048b
烦	048a
烤	0489
烟	0488
烈	0487
烂	0486
炼	0485
点	0484
炸	0483
炮	0482
灵	0481
灰	0480
灯	047f
灭	047e
火	047d
激	047c
潜	047b
漫	047a
漠	0479
演	0478
漏	0477
漆	0476
漂	0475
滩	0474
满	0473
滚	0472
滑	0471
溜	0470
湿	046f
湾	046e
湖	046d
游	046c
渴	046b
港	046a
渣	0469
渡	0468
清	0467
俺	0466
混	0465
深	0464
淫	0463
淡	0462
液	0461
润	0460
消	045f
涂	045e
海	045d
浮	045c
浪	045b
测	045a
流	0459
派	0458
活	0457
洲	0456
洞	0455
洛	0454
洗	0453
洒	0452
洋	0451
泽	0450
泳	044f
泪	044e
注	044d
泥	044c
波	044b
法	044a
泊	0449
沿	0448
治	0447
油	0446
河	0445
没	0444
沟	0443
沙	0442
沉	0441
汽	0440
汤	043f
池	043e
江	043d
汉	043c
求	043b
永	043a
水	0439
氮	0438
氧	0437
气	0436
氓	0435
民	0434
毫	0433
毛	0432
毙	0431
毕	0430
比	042f
毒	042e
每	042d
母	042c
毁	042b
段	042a
残	0429
殊	0428
歼	0427
死	0426
歪	0425
武	0424
步	0423
此	0422
正	0421
止	0420
歌	041f
歉	041e
歇	041d
款	041c
欺	041b
欲	041a
欢	0419
次	0418
欠	0417
橱	0416
横	0415
模	0414
槽	0413
楼	0412
楚	0411
森	0410
棚	040f
棕	040e
棒	040d
棍	040c
检	040b
械	040a
梯	0409
梦	0408
桶	0407
桥	0406
档	0405
桌	0404
案	0403
格	0402
根	0401
样	0400
校	03ff
树	03fe
栏	03fd
标	03fc
栅	03fb
柴	03fa
查	03f9
柔	03f8
染	03f7
某	03f6
柄	03f5
架	03f4
枪	03f3
果	03f2
林	03f1
构	03f0
极	03ef
板	03ee
松	03ed
杰	03ec
杯	03eb
来	03ea
条	03e9
杠	03e8
束	03e7
村	03e6
村	03e5
李	03e4
杉	03e3
杆	03e2
权	03e1
杂	03e0
杀	03df
机	03de
朵	03dd
术	03dc
本	03db
末	03da
未	03d9
木	03d8
期	03d7
朝	03d6
望	03d5
服	03d4
朋	03d3
有	03d2
月	03d1
最	03d0
替	03cf
曾	03ce
更	03cd
曲	03cc
暴	03cb
暗	03ca
暂	03c9
智	03c8
景	03c7
普	03c6
晚	03c5
显	03c4
是	03c3
昨	03c2
春	03c1
星	03c0
易	03bf
昏	03be
明	03bd
时	03bc
早	03bb
旧	03ba
旦	03b9
日	03b8
无	03b7
族	03b6
旋	03b5
旅	03b4
旁	03b3
施	03b2
方	03b1
新	03b0
斯	03af
断	03ae
斜	03ad
料	03ac
斗	03ab
文	03aa
整	03a9
敲	03a8
数	03a7
敬	03a6
散	03a5
敢	03a4
教	03a3
救	03a2
敏	03a1
敌	03a0
效	039f
故	039e
政	039d
放	039c
攻	039b
改	039a
收	0399
支	0398
攀	0397
擦	0396
擎	0395
操	0394
播	0393
撤	0392
撞	0391
撕	0390
撒	038f
撑	038e
摸	038d
摩	038c
摧	038b
摔	038a
摊	0389
摇	0388
摆	0387
摄	0386
携	0385
搭	0384
搬	0383
搞	0382
搜	0381
搅	0380
援	037f
插	037e
提	037d
描	037c
掷	037b
掩	037a
推	0379
控	0378
接	0377
探	0376
排	0375
掌	0374
掉	0373
捷	0372
据	0371
换	0370
捡	036f
损	036e
捕	036d
捉	036c
挺	036b
挪	036a
挥	0369
挣	0368
挡	0367
挑	0366
按	0365
指	0364
挂	0363
持	0362
拿	0361
拾	0360
拳	035f
拯	035e
括	035d
择	035c
拨	035b
拦	035a
拥	0359
拟	0358
拜	0357
招	0356
拘	0355
拖	0354
拍	0353
拌	0352
拉	0351
拇	0350
担	034f
抽	034e
押	034d
抵	034c
抱	034b
抬	034a
披	0349
报	0348
护	0347
抢	0346
抛	0345
折	0344
抗	0343
投	0342
抓	0341
把	0340
技	033f
承	033e
找	033d
批	033c
扳	033b
扰	033a
扯	0339
扬	0338
扫	0337
执	0336
扣	0335
托	0334
扔	0333
打	0332
扑	0331
扎	0330
才	032f
手	032e
所	032d
房	032c
戶	032b
戴	032a
戳	0329
截	0328
战	0327
或	0326
戒	0325
我	0324
成	0323
戏	0322
懦	0321
懒	0320
懂	031f
慢	031e
愿	031d
愤	031c
感	031b
愚	031a
意	0319
愉	0318
惹	0317
想	0316
惯	0315
惩	0314
惜	0313
惕	0312
惊	0311
情	0310
悲	030f
悬	030e
您	030d
悠	030c
悔	030b
悉	030a
恶	0309
恰	0308
息	0307
恭	0306
恩	0305
恨	0304
恢	0303
恐	0302
总	0301
怪	0300
怨	02ff
性	02fe
急	02fd
思	02fc
怜	02fb
怕	02fa
怒	02f9
怎	02f8
态	02f7
怀	02f6
快	02f5
忙	02f4
忘	02f3
志	02f2
忍	02f1
必	02f0
心	02ef
德	02ee
微	02ed
循	02ec
御	02eb
得	02ea
徒	02e9
律	02e8
很	02e7
待	02e6
径	02e5
征	02e4
往	02e3
役	02e2
影	02e1
彩	02e0
形	02df
录	02de
当	02dd
归	02dc
强	02db
弹	02da
弱	02d9
弯	02d8
张	02d7
弟	02d6
弗	02d5
引	02d4
式	02d3
弊	02d2
弄	02d1
弃	02d0
异	02cf
开	02ce
建	02cd
康	02cc
庭	02cb
座	02ca
度	02c9
废	02c8
府	02c7
店	02c6
底	02c5
应	02c4
库	02c3
床	02c2
庄	02c1
广	02c0
幻	02bf
幸	02be
并	02bd
年	02bc
平	02bb
干	02ba
幕	02b9
帽	02b8
常	02b7
帮	02b6
帧	02b5
带	02b4
帝	02b3
希	02b2
师	02b1
帅	02b0
布	02af
市	02ae
币	02ad
巾	02ac
巷	02ab
巴	02aa
已	02a9
己	02a8
差	02a7
巨	02a6
巧	02a5
左	02a4
工	02a3
巡	02a2
峡	02a1
岸	02a0
岩	029f
岁	029e
山	029d
屠	029c
属	029b
展	029a
屏	0299
屎	0298
屋	0297
居	0296
层	0295
屁	0294
局	0293
尿	0292
尾	0291
尽	0290
尼	028f
尺	028e
尸	028d
就	028c
尤	028b
尝	028a
尖	0289
尔	0288
少	0287
小	0286
尊	0285
尉	0284
将	0283
射	0282
封	0281
导	0280
寻	027f
对	027e
察	027d
寓	027c
密	027b
宾	027a
宽	0279
容	0278
家	0277
害	0276
宰	0275
室	0274
宣	0273
客	0272
审	0271
实	0270
宝	026f
宜	026e
定	026d
官	026c
完	026b
安	026a
守	0269
宅	0268
它	0267
孩	0266
学	0265
孤	0264
存	0263
字	0262
子	0261
嫖	0260
嫌	025f
媚	025e
婚	025d
婊	025c
婆	025b
娘	025a
娃	0259
威	0258
姿	0257
委	0256
姓	0255
姑	0254
姐	0253
始	0252
妹	0251
受	0250
妞	024f
妙	024e
妓	024d
妈	024c
妇	024b
妄	024a
如	0249
好	0248
她	0247
女	0246
奥	0245
套	0244
奖	0243
奔	0242
奏	0241
奋	0240
奇	023f
夺	023e
夹	023d
头	023c
失	023b
央	023a
夫	0239
太	0238
天	0237
大	0236
够	0235
夜	0234
多	0233
外	0232
复	0231
备	0230
处	022f
壳	022e
声	022d
壮	022c
士	022b
壁	022a
墨	0229
增	0228
墙	0227
墓	0226
墅	0225
境	0224
填	0223
塞	0222
塔	0221
堡	0220
堆	021f
堂	021e
基	021d
域	021c
城	021b
埋	021a
埃	0219
型	0218
垃	0217
垂	0216
坦	0215
坡	0214
坠	0213
坝	0212
坚	0211
块	0210
坑	020f
坐	020e
坏	020d
坎	020c
均	020b
圾	020a
场	0209
地	0208
在	0207
圣	0206
土	0205
圈	0204
圆	0203
图	0202
国	0201
围	0200
困	01ff
园	01fe
团	01fd
因	01fc
回	01fb
四	01fa
噪	01f9
器	01f8
噢	01f7
嘿	01f6
嘴	01f5
嘣	01f4
嘛	01f3
嘘	01f2
嗯	01f1
嗨	01f0
嗑	01ef
喷	01ee
喝	01ed
喜	01ec
喘	01eb
喊	01ea
喉	01e9
喂	01e8
啦	01e7
啥	01e6
啤	01e5
啡	01e4
啊	01e3
商	01e2
唱	01e1
唯	01e0
售	01df
唔	01de
唐	01dd
唉	01dc
哼	01db
哭	01da
哪	01d9
哦	01d8
哥	01d7
哟	01d6
哑	01d5
哎	01d4
响	01d3
哈	01d2
哇	01d1
品	01d0
咱	01cf
咪	01ce
咖	01cd
咒	01cc
和	01cb
命	01ca
呼	01c9
味	01c8
周	01c7
呢	01c6
呜	01c5
员	01c4
告	01c3
呆	01c2
呀	01c1
吹	01c0
吸	01bf
吵	01be
吴	01bd
唇	01bc
听	01bb
吨	01ba
吧	01b9
否	01b8
君	01b7
吗	01b6
吓	01b5
向	01b4
吐	01b3
后	01b2
名	01b1
同	01b0
吊	01af
吉	01ae
合	01ad
各	01ac
吃	01ab
司	01aa
号	01a9
右	01a8
台	01a7
可	01a6
召	01a5
叫	01a4
只	01a3
另	01a2
句	01a1
古	01a0
口	019f
叛	019e
变	019d
受	019c
取	019b
叔	019a
发	0199
反	0198
双	0197
友	0196
及	0195
叉	0194
又	0193
参	0192
县	0191
去	0190
厢	018f
原	018e
厕	018d
厌	018c
压	018b
厉	018a
历	0189
厅	0188
厂	0187
卸	0186
卷	0185
却	0184
即	0183
危	0182
卫	0181
卧	0180
卢	017f
卡	017e
占	017d
博	017c
南	017b
卖	017a
单	0179
协	0178
华	0177
半	0176
午	0175
升	0174
干	0173
十	0172
医	0171
区	0170
匪	016f
匠	016e
匙	016d
北	016c
化	016b
包	016a
勾	0169
募	0168
勒	0167
勇	0166
势	0165
劳	0164
劲	0163
励	0162
劫	0161
努	0160
助	015f
动	015e
务	015d
加	015c
功	015b
办	015a
力	0159
割	0158
副	0157
剪	0156
利	0155
剧	0154
前	0153
剂	0152
刻	0151
刺	0150
刹	014f
制	014e
到	014d
别	014c
利	014b
判	014a
删	0149
初	0148
创	0147
刚	0146
则	0145
列	0144
划	0143
切	0142
分	0141
刀	0140
击	013f
出	013e
凶	013d
凯	013c
几	013b
减	013a
准	0139
净	0138
冻	0137
冷	0136
况	0135
决	0134
冲	0133
冰	0132
冠	0131
农	0130
军	012f
写	012e
冒	012d
再	012c
册	012b
内	012a
兽	0129
养	0128
典	0127
具	0126
其	0125
兵	0124
兴	0123
关	0122
共	0121
兰	0120
六	011f
公	011e
八	011d
全	011c
入	011b
兜	011a
党	0119
免	0118
克	0117
光	0116
先	0115
充	0114
兄	0113
元	0112
允	0111
儿	0110
像	010f
傻	010e
傲	010d
催	010c
偷	010b
健	010a
停	0109
做	0108
假	0107
倾	0106
值	0105
债	0104
借	0103
候	0102
倒	0101
倍	0100
俱	00ff
俯	00fe
修	00fd
俩	00fc
信	00fb
保	00fa
俄	00f9
便	00f8
侵	00f7
侧	00f6
侦	00f5
侠	00f4
供	00f3
例	00f2
使	00f1
佳	00f0
佬	00ef
你	00ee
作	00ed
呆	00ec
何	00eb
体	00ea
住	00e9
低	00e8
位	00e7
但	00e6
似	00e5
伸	00e4
伴	00e3
估	00e2
伯	00e1
伪	00e0
伤	00df
传	00de
伞	00dd
会	00dc
伙	00db
优	00da
休	00d9
伏	00d8
伍	00d7
份	00d6
任	00d5
价	00d4
件	00d3
们	00d2
仪	00d1
以	00d0
分	00cf
代	00ce
付	00cd
他	00cc
仔	00cb
仓	00ca
从	00c9
仍	00c8
介	00c7
今	00c6
仇	00c5
仅	00c4
什	00c3
人	00c2
亲	00c1
亮	00c0
享	00bf
产	00be
交	00bd
亡	00bc
些	00bb
亚	00ba
五	00b9
互	00b8
云	00b7
于	00b6
二	00b5
事	00b4
争	00b3
了	00b2
乱	00b1
买	00b0
书	00af
乡	00ae
习	00ad
也	00ac
九	00ab
乘	00aa
乖	00a9
乐	00a8
乎	00a7
乌	00a6
之	00a5
义	00a4
么	00a3
久	00a2
举	00a1
主	00a0
为	009f
丹	009e
丸	009d
临	009c
中	009b
丫	009a
个	0099
严	0098
两	0097
丢	0096
丝	0095
东	0094
业	0093
世	0092
且	0091
专	0090
丑	008f
与	008e
不	008d
下	008c
上	008b
三	008a
万	0089
七	0088
丁	0087
一	0086
。	0085
”	0084
“	0083
’	0082
‘	0081
—	0080
·	007f
